"","module","module_description"
"34","M00034","Methionine salvage pathway"
"35","M00035","Methionine degradation"
"36","M00036","Leucine degradation, leucine => acetoacetate + acetyl-CoA"
"37","M00037","Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin"
"38","M00038","Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"
"39","M00039","Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"
"40","M00040","Tyrosine biosynthesis, chorismate => arogenate => tyrosine"
"41","M00042","Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"
"42","M00043","Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"
"43","M00044","Tyrosine degradation, tyrosine => homogentisate"
"44","M00045","Histidine degradation, histidine => N-formiminoglutamate => glutamate"
"45","M00046","Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
"46","M00047","Creatine pathway"
"47","M00048","De novo purine biosynthesis, PRPP + glutamine => IMP"
"48","M00049","Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
"49","M00050","Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
"50","M00051","De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
"51","M00052","Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
"52","M00053","Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
"53","M00055","N-glycan precursor biosynthesis"
"54","M00056","O-glycan biosynthesis, mucin type core"
"55","M00057","Glycosaminoglycan biosynthesis, linkage tetrasaccharide"
"56","M00058","Glycosaminoglycan biosynthesis, chondroitin sulfate backbone"
"57","M00059","Glycosaminoglycan biosynthesis, heparan sulfate backbone"
"58","M00060","KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type"
"59","M00061","D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P"
"60","M00063","CMP-3-deoxy-D-manno-octulosonate biosynthesis, ribulose-5P => CMP-KDO"
"61","M00064","ADP-L-glycero-D-manno-heptose biosynthesis, sedoheptulose-7P => ADP-LDmanHep"
"62","M00065","GPI-anchor biosynthesis, core oligosaccharide"
"63","M00066","Lactosylceramide biosynthesis"
"64","M00067","Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"
"65","M00068","Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"
"66","M00069","Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"
"67","M00070","Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer"
"68","M00071","Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"
"69","M00072","N-glycosylation by oligosaccharyltransferase"
"70","M00073","N-glycan precursor trimming"
"71","M00074","N-glycan biosynthesis, high-mannose type"
"72","M00075","N-glycan biosynthesis, complex type"
"73","M00076","Dermatan sulfate degradation"
"74","M00077","Chondroitin sulfate degradation"
"75","M00078","Heparan sulfate degradation"
"76","M00079","Keratan sulfate degradation"
"77","M00081","Pectin degradation"
"78","M00082","Fatty acid biosynthesis, initiation"
"79","M00083","Fatty acid biosynthesis, elongation"
"80","M00085","Fatty acid elongation in mitochondria"
"81","M00086","beta-Oxidation, acyl-CoA synthesis"
"82","M00087","beta-Oxidation"
"83","M00088","Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
"84","M00089","Triacylglycerol biosynthesis"
"85","M00090","Phosphatidylcholine (PC) biosynthesis, choline => PC"
"86","M00091","Phosphatidylcholine (PC) biosynthesis, PE => PC"
"87","M00092","Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE"
"88","M00093","Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE"
"89","M00094","Ceramide biosynthesis"
"90","M00095","C5 isoprenoid biosynthesis, mevalonate pathway"
"91","M00096","C5 isoprenoid biosynthesis, non-mevalonate pathway"
"92","M00097","beta-Carotene biosynthesis, GGAP => beta-carotene"
"93","M00098","Acylglycerol degradation"
"94","M00099","Sphingosine biosynthesis"
"95","M00100","Sphingosine degradation"
"96","M00101","Cholesterol biosynthesis, FPP => cholesterol"
"97","M00102","Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol"
"98","M00103","Cholecalciferol biosynthesis"
"99","M00104","Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate"
"100","M00106","Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"
"101","M00107","Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone"
"102","M00108","C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"
"103","M00109","C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"
"104","M00110","C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"
"105","M00112","Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol"
"106","M00113","Jasmonic acid biosynthesis"
"107","M00114","Ascorbate biosynthesis, plants, fructose-6P => ascorbate"
"108","M00115","NAD biosynthesis, aspartate => quinolinate => NAD"
"109","M00116","Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol"
"110","M00117","Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol"
"111","M00118","Glutathione biosynthesis, glutamate => glutathione"
"112","M00119","Pantothenate biosynthesis, valine/L-aspartate => pantothenate"
"113","M00120","Coenzyme A biosynthesis, pantothenate => CoA"
"114","M00121","Heme biosynthesis, plants and bacteria, glutamate => heme"
"115","M00122","Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"
"116","M00123","Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
"117","M00124","Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P"
"118","M00125","Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD"
"119","M00126","Tetrahydrofolate biosynthesis, GTP => THF"
"120","M00127","Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP"
"121","M00128","Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol"
"122","M00129","Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
"123","M00130","Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4"
"124","M00131","Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol"
"125","M00132","Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"
"126","M00133","Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
"127","M00134","Polyamine biosynthesis, arginine => ornithine => putrescine"
"128","M00135","GABA biosynthesis, eukaryotes, putrescine => GABA"
"129","M00136","GABA biosynthesis, prokaryotes, putrescine => GABA"
"130","M00137","Flavanone biosynthesis, phenylalanine => naringenin"
"131","M00138","Flavonoid biosynthesis, naringenin => pelargonidin"
"132","M00140","C1-unit interconversion, prokaryotes"
"133","M00141","C1-unit interconversion, eukaryotes"
"134","M00142","NADH:ubiquinone oxidoreductase, mitochondria"
"135","M00143","NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria"
"136","M00144","NADH:quinone oxidoreductase, prokaryotes"
"137","M00145","NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria"
"138","M00146","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex"
"139","M00147","NADH dehydrogenase (ubiquinone) 1 beta subcomplex"
"140","M00148","Succinate dehydrogenase (ubiquinone)"
"141","M00149","Succinate dehydrogenase, prokaryotes"
"142","M00150","Fumarate reductase, prokaryotes"
"143","M00151","Cytochrome bc1 complex respiratory unit"
"144","M00152","Cytochrome bc1 complex"
"145","M00153","Cytochrome bd ubiquinol oxidase"
"146","M00154","Cytochrome c oxidase"
"147","M00155","Cytochrome c oxidase, prokaryotes"
"148","M00156","Cytochrome c oxidase, cbb3-type"
"149","M00157","F-type ATPase, prokaryotes and chloroplasts"
"150","M00158","F-type ATPase, eukaryotes"
"151","M00159","V/A-type ATPase, prokaryotes"
"152","M00160","V-type ATPase, eukaryotes"
"153","M00161","Photosystem II"
"154","M00162","Cytochrome b6f complex"
"155","M00163","Photosystem I"
"156","M00165","Reductive pentose phosphate cycle (Calvin cycle)"
"157","M00168","CAM (Crassulacean acid metabolism), dark"
"158","M00169","CAM (Crassulacean acid metabolism), light"
"159","M00170","C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type"
"160","M00171","C4-dicarboxylic acid cycle, NAD - malic enzyme type"
"161","M00172","C4-dicarboxylic acid cycle, NADP - malic enzyme type"
"162","M00173","Reductive citrate cycle (Arnon-Buchanan cycle)"
"163","M00174","Methane oxidation, methanotroph, methane => formaldehyde"
"164","M00175","Nitrogen fixation, nitrogen => ammonia"
"165","M00176","Assimilatory sulfate reduction, sulfate => H2S"
"166","M00307","Pyruvate oxidation, pyruvate => acetyl-CoA"
"167","M00308","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"
"168","M00309","Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate"
"169","M00338","Cysteine biosynthesis, homocysteine + serine => cysteine"
"170","M00344","Formaldehyde assimilation, xylulose monophosphate pathway"
"171","M00345","Formaldehyde assimilation, ribulose monophosphate pathway"
"172","M00346","Formaldehyde assimilation, serine pathway"
"173","M00356","Methanogenesis, methanol => methane"
"174","M00357","Methanogenesis, acetate => methane"
"175","M00358","Coenzyme M biosynthesis"
"176","M00363","EHEC pathogenicity signature, Shiga toxin"
"177","M00364","C10-C20 isoprenoid biosynthesis, bacteria"
"178","M00365","C10-C20 isoprenoid biosynthesis, archaea"
"179","M00366","C10-C20 isoprenoid biosynthesis, plants"
"180","M00367","C10-C20 isoprenoid biosynthesis, non-plant eukaryotes"
"181","M00368","Ethylene biosynthesis, methionine => ethylene"
"182","M00369","Cyanogenic glycoside biosynthesis, tyrosine => dhurrin"
"183","M00370","Glucosinolate biosynthesis, tryptophan => glucobrassicin"
"184","M00371","Castasterone biosynthesis, campesterol => castasterone"
"185","M00372","Abscisic acid biosynthesis, beta-carotene => abscisic acid"
"186","M00373","Ethylmalonyl pathway"
"187","M00374","Dicarboxylate-hydroxybutyrate cycle"
"188","M00375","Hydroxypropionate-hydroxybutylate cycle"
"189","M00376","3-Hydroxypropionate bi-cycle"
"190","M00377","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"191","M00378","F420 biosynthesis, archaea"
"192","M00415","Fatty acid elongation in endoplasmic reticulum"
"193","M00416","Cytochrome aa3-600 menaquinol oxidase"
"194","M00417","Cytochrome o ubiquinol oxidase"
"195","M00418","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"196","M00419","Cymene degradation, p-cymene => p-cumate"
"197","M00422","Acetyl-CoA pathway, CO2 => acetyl-CoA"
"198","M00432","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate"
"199","M00433","Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate"
"200","M00525","Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine"
"201","M00526","Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine"
"202","M00527","Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine"
"203","M00528","Nitrification, ammonia => nitrite"
"204","M00529","Denitrification, nitrate => nitrogen"
"205","M00530","Dissimilatory nitrate reduction, nitrate => ammonia"
"206","M00531","Assimilatory nitrate reduction, nitrate => ammonia"
"207","M00532","Photorespiration"
"208","M00533","Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate"
"209","M00534","Naphthalene degradation, naphthalene => salicylate"
"210","M00535","Isoleucine biosynthesis, pyruvate => 2-oxobutanoate"
"211","M00537","Xylene degradation, xylene => methylbenzoate"
"212","M00538","Toluene degradation, toluene => benzoate"
"213","M00539","Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate"
"214","M00540","Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA"
"215","M00541","Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA"
"216","M00542","EHEC/EPEC pathogenicity signature, T3SS and effectors"
"217","M00543","Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate"
"218","M00544","Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate"
"219","M00545","Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA"
"220","M00546","Purine degradation, xanthine => urea"
"221","M00547","Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol"
"222","M00548","Benzene degradation, benzene => catechol"
"223","M00549","Nucleotide sugar biosynthesis, glucose => UDP-glucose"
"224","M00550","Ascorbate degradation, ascorbate => D-xylulose-5P"
"225","M00551","Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol"
"226","M00552","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
"227","M00554","Nucleotide sugar biosynthesis, galactose => UDP-galactose"
"228","M00555","Betaine biosynthesis, choline => betaine"
"229","M00563","Methanogenesis, methylamine/dimethylamine/trimethylamine => methane"
"230","M00564","Helicobacter pylori pathogenicity signature, cagA pathogenicity island"
"231","M00565","Trehalose biosynthesis, D-glucose 1P => trehalose"
"232","M00567","Methanogenesis, CO2 => methane"
"233","M00568","Catechol ortho-cleavage, catechol => 3-oxoadipate"
"234","M00569","Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA"
"235","M00570","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine"
"236","M00572","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"
"237","M00573","Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"
"238","M00574","Pertussis pathogenicity signature, pertussis toxin"
"239","M00575","Pertussis pathogenicity signature, T1SS"
"240","M00576","ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins"
"241","M00577","Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin"
"242","M00579","Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate"
"243","M00580","Pentose phosphate pathway, archaea, fructose 6P => ribose 5P"
"244","M00595","Sulfur oxidation, SOX system, thiosulfate => sulfate"
"245","M00596","Dissimilatory sulfate reduction, sulfate => H2S"
"246","M00597","Anoxygenic photosystem II"
"247","M00598","Anoxygenic photosystem I"
"248","M00608","2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate"
"249","M00609","Cysteine biosynthesis, methionine => cysteine"
"250","M00615","Nitrate assimilation"
"251","M00616","Sulfate-sulfur assimilation"
"252","M00620","Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
"253","M00621","Glycine cleavage system"
"254","M00622","Nicotinate degradation, nicotinate => fumarate"
"255","M00623","Phthalate degradation, phthalate => protocatechuate"
"256","M00624","Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate"
"257","M00625","Methicillin resistance"
"258","M00627","beta-Lactam resistance, Bla system"
"259","M00630","D-Galacturonate degradation (fungi), D-galacturonate => glycerol"
"260","M00631","D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P"
"261","M00632","Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
"262","M00633","Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P"
"263","M00636","Phthalate degradation, phthalate => protocatechuate"
"264","M00637","Anthranilate degradation, anthranilate => catechol"
"265","M00638","Salicylate degradation, salicylate => gentisate"
"266","M00639","Multidrug resistance, efflux pump MexCD-OprJ"
"267","M00641","Multidrug resistance, efflux pump MexEF-OprN"
"268","M00642","Multidrug resistance, efflux pump MexJK-OprM"
"269","M00643","Multidrug resistance, efflux pump MexXY-OprM"
"270","M00649","Multidrug resistance, efflux pump AdeABC"
"271","M00651","Vancomycin resistance, D-Ala-D-Lac type"
"272","M00652","Vancomycin resistance, D-Ala-D-Ser type"
"273","M00660","Xanthomonas spp. pathogenicity signature, T3SS and effectors"
"274","M00661","Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline"
"275","M00664","Nodulation"
"276","M00672","Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin"
"277","M00673","Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C"
"278","M00674","Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate"
"279","M00675","Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate"
"280","M00696","Multidrug resistance, efflux pump AcrEF-TolC"
"281","M00697","Multidrug resistance, efflux pump MdtEF-TolC"
"282","M00698","Multidrug resistance, efflux pump BpeEF-OprC"
"283","M00700","Multidrug resistance, efflux pump AbcA"
"284","M00702","Multidrug resistance, efflux pump NorB"
"285","M00704","Tetracycline resistance, efflux pump Tet38"
"286","M00705","Multidrug resistance, efflux pump MepA"
"287","M00714","Multidrug resistance, efflux pump QacA"
"288","M00718","Multidrug resistance, efflux pump MexAB-OprM"
"289","M00725","Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon"
"290","M00726","Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF"
"291","M00730","Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter"
"292","M00736","Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A"
"293","M00740","Methylaspartate cycle"
"294","M00741","Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA"
"295","M00744","Cationic antimicrobial peptide (CAMP) resistance, protease PgtE"
"296","M00745","Imipenem resistance, repression of porin OprD"
"297","M00746","Multidrug resistance, repression of porin OmpF"
"298","M00761","Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N"
"299","M00763","Ornithine biosynthesis, mediated by LysW, glutamate => ornithine"
"300","M00769","Multidrug resistance, efflux pump MexPQ-OpmE"
"301","M00773","Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin"
"302","M00774","Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B"
"303","M00775","Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin"
"304","M00776","Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin"
"305","M00777","Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b"
"306","M00778","Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide"
"307","M00779","Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin"
"308","M00780","Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline"
"309","M00781","Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone"
"310","M00782","Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin"
"311","M00783","Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C"
"312","M00784","Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A"
"313","M00785","Cycloserine biosynthesis, arginine/serine => cycloserine"
"314","M00786","Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A"
"315","M00787","Bacilysin biosynthesis, prephenate => bacilysin"
"316","M00788","Terpentecin biosynthesis, GGAP => terpentecin"
"317","M00789","Rebeccamycin biosynthesis, tryptophan => rebeccamycin"
"318","M00790","Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin"
"319","M00793","dTDP-L-rhamnose biosynthesis, glucose-1P => dTDP-L-Rha"
"320","M00794","dTDP-6-deoxy-D-allose biosynthesis"
"321","M00795","dTDP-beta-L-noviose biosynthesis"
"322","M00796","dTDP-D-mycaminose biosynthesis"
"323","M00797","dTDP-D-desosamine biosynthesis"
"324","M00798","dTDP-L-mycarose biosynthesis"
"325","M00799","dTDP-L-oleandrose biosynthesis"
"326","M00800","dTDP-L-megosamine biosynthesis"
"327","M00801","dTDP-L-olivose biosynthesis"
"328","M00802","dTDP-D-forosamine biosynthesis"
"329","M00803","dTDP-D-angolosamine biosynthesis"
"330","M00804","Complete nitrification, comammox, ammonia => nitrite => nitrate"
"331","M00805","Staurosporine biosynthesis, tryptophan => staurosporine"
"332","M00808","Violacein biosynthesis, tryptophan => violacein"
"333","M00810","Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde"
"334","M00811","Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde"
"335","M00814","Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose"
"336","M00815","Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A"
"337","M00819","Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone"
"338","M00823","Chlortetracycline biosynthesis, pretetramide => chlortetracycline"
"339","M00824","9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core"
"340","M00825","10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core"
"341","M00826","C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA"
"342","M00827","C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP"
"343","M00828","Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP"
"344","M00829","3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA"
"345","M00830","Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA"
"346","M00831","Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA"
"347","M00832","Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP"
"348","M00833","Calicheamicin biosynthesis, calicheamicinone => calicheamicin"
"349","M00834","Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP"
"350","M00835","Pyocyanine biosynthesis, chorismate => pyocyanine"
"351","M00836","Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430"
"352","M00837","Prodigiosin biosynthesis, L-proline => prodigiosin"
"353","M00838","Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin"
"354","M00840","Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF"
"355","M00841","Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
"356","M00842","Tetrahydrobiopterin biosynthesis, GTP => BH4"
"357","M00843","L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4"
"358","M00844","Arginine biosynthesis, ornithine => arginine"
"359","M00845","Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
"360","M00846","Siroheme biosynthesis, glutamyl-tRNA => siroheme"
"361","M00847","Heme biosynthesis, archaea, siroheme => heme"
"362","M00848","Aurachin biosynthesis, anthranilate => aurachin A"
"363","M00849","C5 isoprenoid biosynthesis, mevalonate pathway, archaea"
"364","M00850","Vibrio cholerae pathogenicity signature, cholera toxins"
"365","M00851","Carbapenem resistance"
"366","M00852","Vibrio cholerae pathogenicity signature, toxin coregulated pilus"
"367","M00853","ETEC pathogenicity signature, colonization factors"
"368","M00854","Glycogen biosynthesis, glucose-1P => glycogen/starch"
"369","M00855","Glycogen degradation, glycogen => glucose-6P"
"370","M00856","Salmonella enterica pathogenicity signature, typhoid toxin"
"371","M00857","Salmonella enterica pathogenicity signature, Vi antigen"
"372","M00859","Bacillus anthracis pathogenicity signature, anthrax toxin"
"373","M00860","Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis"
"374","M00861","beta-Oxidation, peroxisome, VLCFA"
"375","M00862","beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA"
"376","M00866","KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type"
"377","M00867","KDO2-lipid A modification pathway"
"378","M00868","Heme biosynthesis, animals and fungi, glycine => heme"
"379","M00872","O-glycan biosynthesis, mannose type (core M3)"
"380","M00873","Fatty acid biosynthesis in mitochondria, animals"
"381","M00874","Fatty acid biosynthesis in mitochondria, fungi"
"382","M00875","Staphyloferrin B biosynthesis, L-serine => staphyloferrin B"
"383","M00876","Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A"
"384","M00877","Kanosamine biosynthesis, glucose 6-phosphate => kanosamine"
